n,delta_n,z
19995,0.7827245885,15650.5781465044
19996,0.8247120350,16490.9418525306
19997,0.8761986332,17521.3440671865
19998,0.9233993528,18466.1402572550
19999,0.9536770176,19072.5866749076
20000,0.9589259559,19178.5191171819
20001,0.9377422009,18755.7817609073
20002,0.8957992190,17917.7759780146
20003,0.8443286421,16889.1058277420
20004,0.7971128703,15945.4458583737
20005,0.7667948254,15339.7304817344
20006,0.7614929244,15234.4274460696
20007,0.7826275721,15658.0298346852
20008,0.8245410495,16497.4173181043
20009,0.8760124916,17528.1339438504
20010,0.9232622571,18474.4777652869
20011,0.9536412585,19083.3152237171
20012,0.9590174750,19191.8577098987
20013,0.9379529986,18771.2533602446
20014,0.8960888123,17934.3214901101
20015,0.8446343673,16905.3568614844
20016,0.7973664130,15960.0861221081
20017,0.7669406199,15351.8503890403
20018,0.7615034672,15243.7764055111
20019,0.7825114308,15665.0963335036
20020,0.8243412529,16503.3118835276
20021,0.8757955467,17534.3026400421
20022,0.9231005912,18482.3200369805
20023,0.9535937204,19093.8070634602
20024,0.9591131450,19205.2816151946
20025,0.9381827574,18787.1097164497
20026,0.8964070996,17951.4485771841
20027,0.8449708411,16922.2310343648
20028,0.7976445326,15975.2246990630
20029,0.7670982441,15364.2107306697
20030,0.7615099237,15253.0437725503
20031,0.7823763729,15671.7811259740
20032,0.8241127575,16508.6267579113
20033,0.8755477823,17539.8487221780
20034,0.9229142124,18489.6633315299
20035,0.9535341706,19104.0571089037
20036,0.9592127044,19218.7857460906
20037,0.9384312576,18803.3471088752
20038,0.8967539630,17969.1559104621
20039,0.8453380812,16939.7298100358
20040,0.7979473803,15990.8655016589
20041,0.7672679437,15376.8168590270
20042,0.7615125699,15262.2349254373
20043,0.7822226299,15678.0881702123
20044,0.8238556870,16513.3633901344
20045,0.8752691792,17544.7706970927
20046,0.9227029614,18496.5035650322
20047,0.9534623505,19114.0597396845
20048,0.9593158635,19232.3644311776
20049,0.9386982562,18819.9613390451
20050,0.8971292727,17987.4419174128
20051,0.8457361083,16957.8547075187
20052,0.7982751238,16007.0127820893
20053,0.7674499905,15389.6746601684
20054,0.7615117098,15271.3558276343
20055,0.7820504565,15684.0219050380
20056,0.8235701774,16517.5234770668
20057,0.8749597158,17549.0670207002
20058,0.9224666625,18502.8363172860
20059,0.9533779751,19123.8088033856
20060,0.9594223037,19246.0114130494
20061,0.9389834866,18836.9477247660
20062,0.8975328867,18006.3047730724
20063,0.8461649450,16976.6072920503
20064,0.7986279468,16023.6711251629
20065,0.7676446823,15402.7905505093
20066,0.7615076761,15280.4130294036
20067,0.7818601314,15689.5872560966
20068,0.8232563769,16521.1089726219
20069,0.8746193686,17552.7361076363
20070,0.9222051240,18508.6568393918
20071,0.9532807343,19133.2976190121
20072,0.9595316783,19259.7198466834
20073,0.9392866584,18854.3010937965
20074,0.8979646503,18025.7423906047
20075,0.8466246159,16995.9891650232
20076,0.7990060490,16040.8454403039
20077,0.7678523421,15416.1714731517
20078,0.7615008302,15289.4136694413
20079,0.7816519569,15694.7896424482
20080,0.8229144471,16524.1220976251
20081,0.8742481122,17555.7763417401
20082,0.9219181387,18513.9600620853
20083,0.9531702923,19142.5189809073
20084,0.9596436117,19273.4822978091
20085,0.9396074572,18872.0157770027
20086,0.8984243957,18045.7524110624
20087,0.8471151468,17016.0019530203
20088,0.7994096452,16058.5409528264
20089,0.7680733184,15429.8248937193
20090,0.7614915618,15298.3654765131
20091,0.7814262597,15699.6349836263
20092,0.8225445625,16526.5653504372
20093,0.8738459208,17558.1860874810
20094,0.9216054845,18518.7406048902
20095,0.9530462883,19151.4651631326
20096,0.9597577001,19287.2907412708
20097,0.9399455442,18890.0856011011
20098,0.8989119411,18066.3321923125
20099,0.8476365638,17036.6472959255
20100,0.7998389649,16076.7631943952
20101,0.7683079845,15443.7587957714
20102,0.7614802891,15307.2767710771
20103,0.7811833909,15704.1297071134
20104,0.8221469120,16528.4415183961
20105,0.8734127681,17559.9637023081
20106,0.9212669246,18522.9927860531
20107,0.9529083366,19160.1279242972
20108,0.9598735110,19301.1365594221
20109,0.9403005560,18908.5038809305
20110,0.8994270909,18087.4787972862
20111,0.8481888934,17057.9268341760
20112,0.8002942518,16095.5179926789
20113,0.7685567382,15457.9816756989
20114,0.7614674588,15316.1564668669
20115,0.7809237264,15708.2807562727
20116,0.8217216986,16529.7536899939
20117,0.8729486280,17561.1075498683
20118,0.9209022086,18526.7106332982
20119,0.9527560273,19168.4985129270
20120,0.9599905835,19315.0105405763
20121,0.9406721043,18927.2634113641
20122,0.8999696343,18109.1889813391
20123,0.8487721610,17079.8421950080
20124,0.8007757633,16114.8114601846
20125,0.7688200018,15472.5025371086
20126,0.7614535463,15325.0140724053
20127,0.7806476672,15712.0955986462
20128,0.8212691409,16530.5052678269
20129,0.8724534758,17561.6160141965
20130,0.9205110728,18529.8878954029
20131,0.9525889262,19176.5676733292
20132,0.9601084283,19328.9028775370
20133,0.9410597754,18946.3564587863
20134,0.9005393453,18131.4591790068
20135,0.8493863908,17102.3949778670
20136,0.8012837695,16134.6499822434
20137,0.7690982214,15487.3308846876
20138,0.7614390551,15333.8596924157
20139,0.7803556400,15715.5822346390
20140,0.8207894728,16530.6999822936
20141,0.8719272884,17561.4875147511
20142,0.9200932407,18532.5180546599
20143,0.9524065756,19184.3256520303
20144,0.9602265273,19342.8031662472
20145,0.9414631299,18965.7747522737
20146,0.9011359818,18154.2854898957
20147,0.8500316047,17125.5867388997
20148,0.8018185529,16155.0402041530
20149,0.7693918665,15502.4767174597
20150,0.7614245176,15342.7040291087
20151,0.7800480972,15718.7492065227
20152,0.8202829449,16530.3419059784
20153,0.8713700453,17560.7205224387
20154,0.9196484241,18534.5943401297
20155,0.9522084944,19191.7622047909
20156,0.9603443344,19356.7004045851
20157,0.9418817024,18985.5094743882
20158,0.9017592848,18177.6636639601
20159,0.8507078215,17149.4189744545
20160,0.8023804076,16175.9890174464
20161,0.7697014296,15517.9505214866
20162,0.7614104942,15351.5583832934
20163,0.7797255174,15721.6056077798
20164,0.8197498249,16529.4354687771
20165,0.8707817296,17559.3135764910
20166,0.9191763236,18536.1097418683
20167,0.9519941788,19198.8666042402
20168,0.9604612749,19370.5829913454
20169,0.9423150008,19005.5512517215
20170,0.9024089780,18201.5890860104
20171,0.8514150565,17173.8931037713
20172,0.8029696384,16197.5035452510
20173,0.7700274259,15533.7632619053
20174,0.7613975739,15360.4346552925
20175,0.7793884061,15724.1610926961
20176,0.8191903982,16527.9854737170
20177,0.8701623285,17557.2653023053
20178,0.9186766293,18537.0570259670
20179,0.9517631026,19205.6276481489
20180,0.9605767456,19384.4387254381
20181,0.9427625066,19025.8901451591
20182,0.9030847666,18226.0567595960
20183,0.8521533197,17199.0104506663
20184,0.8035865600,16219.5911267696
20185,0.7703703926,15549.9263743252
20186,0.7613863740,15369.3453456214
20187,0.7790372956,15726.4258862424
20188,0.8186049690,16525.9971134082
20189,0.8695118347,17554.5744301539
20190,0.9181490218,18537.4287505736
20191,0.9515147179,19212.0336683822
20192,0.9606901152,19398.2548053502
20193,0.9432236735,19046.5156399024
20194,0.9037863370,18251.0612901915
20195,0.8529226157,17224.7722243811
20196,0.8042314964,16242.2593007984
20197,0.7707308885,15566.4517555105
20198,0.7613775401,15378.3035553759
20199,0.7786727459,15728.4107941062
20200,0.8179938608,16523.4759871821
20201,0.8688302468,17551.2398148609
20202,0.9175931731,18537.2172828064
20203,0.9512484552,19218.0725405732
20204,0.9608007241,19412.0178289063
20205,0.9436979280,19067.4166353215
20206,0.9045133558,18276.5968677598
20207,0.8537229425,17251.1794994322
20208,0.8049047797,16265.5157883508
20209,0.7711094935,15583.3517533557
20210,0.7613717460,15387.3229863135
20211,0.7782953448,15730.1272129606
20212,0.8173574173,16520.4281187995
20213,0.8681175707,17547.2604563144
20214,0.9170087472,18536.4148166610
20215,0.9509637247,19223.7316945282
20216,0.9609078845,19425.7137933697
20217,0.9441846681,19088.5814346357
20218,0.9052654688,18302.6572487257
20219,0.8545542903,17278.2331946647
20220,0.8056067495,16289.3684742599
20221,0.7715068076,15600.6391560775
20222,0.7613696934,15396.4179405555
20223,0.7779057084,15731.5871408313
20224,0.8166960035,16516.8599748464
20225,0.8673738206,17542.6355209680
20226,0.9163954016,18535.0133918397
20227,0.9506599162,19228.9981254445
20228,0.9610108808,19439.3280959364
20229,0.9446832634,19109.9977344973
20230,0.9060423004,18329.2357373337
20231,0.8554166404,17305.9340512885
20232,0.8063377515,16313.8253878251
20233,0.7719234508,15618.3271806016
20234,0.7613721123,15405.6033198897
20235,0.7775044817,15732.8031875487
20236,0.8160100061,16512.7784835845
20237,0.8665990198,17537.3643641691
20238,0.9157527875,18533.0049136482
20239,0.9503364003,19233.8584059118
20240,0.9611089691,19452.8455346559
20241,0.9451930544,19131.6526144834
20242,0.9068434525,18356.3251664608
20243,0.8563099644,17334.2826101064
20244,0.8070981369,16338.8946824696
20245,0.7723600622,15636.4294601228
20246,0.7613797602,15414.8946246079
20247,0.7770923389,15733.7885852763
20248,0.8152998348,16508.1910544554
20249,0.8657932023,17531.4465534176
20250,0.9150805518,18530.3811738127
20251,0.9499925287,19238.2986988126
20252,0.9612013781,19466.2503098423
20253,0.9457133524,19153.5325265973
20254,0.9076685039,18383.9178779016
20255,0.8572342230,17363.2791878145
20256,0.8078882610,16364.5846143701
20257,0.7728172992,15654.9600307771
20258,0.7613934224,15424.3079518420
20259,0.7766699837,15734.5571990189
20260,0.8145659229,16503.1055979971
20261,0.8649564134,17524.8818925180
20262,0.9143783374,18527.1338724064
20263,0.9496276352,19242.3047710828
20264,0.9612873088,19479.5260260092
20265,0.9462434387,19175.6232847480
20266,0.9085170089,18412.0057021805
20267,0.8581893646,17392.9238523996
20268,0.8087084823,16390.9035200168
20269,0.7732958369,15673.9333174021
20270,0.7614139119,15433.8599933376
20271,0.7762381499,15735.1235370875
20272,0.8138087286,16497.5305463354
20273,0.8640887114,17517.6704465720
20274,0.9136457848,18523.2546407621
20275,0.9492410362,19245.8620084614
20276,0.9613659348,19492.6556943945
20277,0.9467825642,19197.9100543455
20278,0.9093884968,18440.5799378737
20279,0.8591753241,17423.2163977159
20280,0.8095591614,16417.8597927784
20281,0.7737963670,15693.3641183099
20282,0.7614420685,15443.5680326212
20283,0.7757976020,15735.5027614659
20284,0.8130287357,16491.4748740147
20285,0.8631901685,17509.8125678882
20286,0.9128825331,18518.7350654909
20287,0.9488320319,19248.9554311618
20288,0.9614364026,19505.6217361198
20289,0.9473299493,19220.3773419900
20290,0.9102824707,18469.6313305128
20291,0.8601920219,17454.1563171613
20292,0.8104406593,16445.4618583357
20293,0.7743195974,15713.2675891067
20294,0.7614787593,15453.4499415000
20295,0.7753491352,15735.7106980395
20296,0.8122264544,16484.9481193118
20297,0.8622608722,17501.3089226903
20298,0.9120882212,18513.5667135561
20299,0.9483999069,19251.5697106181
20300,0.9614978318,19518.4059860424
20301,0.9478847833,19243.0089853565
20302,0.9111984066,18499.1500511407
20303,0.8612393625,17485.7427765333
20304,0.8113533367,16473.7181490784
20305,0.7748662509,15733.6592254237
20306,0.7615248782,15463.5241758431
20307,0.7748935759,15735.7638465833
20308,0.8114024230,16477.9604058811
20309,0.8613009266,17492.1605187124
20310,0.9112624893,18507.7411584478
20311,0.9479439312,19253.6891872500
20312,0.9615493155,19530.9896973568
20313,0.9484462238,19265.7881433156
20314,0.9121357524,18529.1256744647
20315,0.8623172329,17517.9745860204
20316,0.8122975525,16502.6370773641
20317,0.7754370648,15754.5548446019
20318,0.7615813451,15473.8097705835
20319,0.7744317826,15735.6793905255
20320,0.8105572079,16470.5224647113
20321,0.8603104539,17482.3687335679
20322,0.9104049802,18501.2500074737
20323,0.9474633612,19255.2978893694
20324,0.9615899206,19543.3535470033
20325,0.9490133966,19288.6972863320
20326,0.9130939268,18559.5471567768
20327,0.8634255016,17550.8501714213
20328,0.8132736623,16532.2270076582
20329,0.7760327889,15775.9705662170
20330,0.7616491064,15484.3263338834
20331,0.7739646454,15735.4752063556
20332,0.8096914055,16462.6456563736
20333,0.8592895954,17471.9353439921
20334,0.9095153403,18494.0849301508
20335,0.9469574405,19256.3795532059
20336,0.9616186881,19555.4776419440
20337,0.9495853954,19311.7181872489
20338,0.9140723185,18590.4028135706
20339,0.8645640171,17584.3675445457
20340,0.8142820171,16562.4962276059
20341,0.7766541857,15797.9227914731
20342,0.7617291338,15495.0940404022
20343,0.7734930872,15735.1698726541
20344,0.8088056426,16454.3419934798
20345,0.8582385134,17460.8625557750
20346,0.9085932217,18486.2376877754
20347,0.9464254015,19256.9176441337
20348,0.9616346337,19567.3415263667
20349,0.9501612813,19334.8319124623
20350,0.9150702849,18621.6802970091
20351,0.8657326064,17618.5242728552
20352,0.8153229618,16593.4529178607
20353,0.7773020283,15820.4281813480
20354,0.7618224243,15506.1336236047
20355,0.7730180633,15734.7826786709
20356,0.8079005779,16445.6241633295
20357,0.8571573923,17449.1530345285
20358,0.9076382829,18477.7001640877
20359,0.9458664659,19256.8953791318
20360,0.9616367480,19578.9241898795
20361,0.9507400822,19358.0188136180
20362,0.9160871512,18653.3665732015
20363,0.8669310734,17653.3174483337
20364,0.8163968337,16625.1051208713
20365,0.7779770996,15843.5036335273
20366,0.7619299994,15517.4663670475
20367,0.7725405623,15734.3336323662
20368,0.8069769025,16436.5055506537
20369,0.8560464400,17436.8099371681
20370,0.9066501913,18468.4643971241
20371,0.9452798464,19256.2957505014
20372,0.9616239975,19590.2040767602
20373,0.9513207932,19381.2585198212
20374,0.9171222096,18685.4478994087
20375,0.8681591978,17688.7436556997
20376,0.8175039610,16657.4607084200
20377,0.7786801913,15867.1662580172
20378,0.7620529048,15529.1140945778
20379,0.7720616060,15733.8434678902
20380,0.8060353415,16427.0002604581
20381,0.8549058900,17423.8369440431
20382,0.9056286239,18458.5226122142
20383,0.9446647476,19255.1015509140
20384,0.9615953246,19601.1590963255
20385,0.9519023758,19404.5299305287
20386,0.9181747180,18717.9098012175
20387,0.8694167332,17724.7989398509
20388,0.8186446610,16690.5273480805
20389,0.7794121022,15891.4333514232
20390,0.7621922099,15541.0991593811
20391,0.7715822496,15733.3336523586
20392,0.8050766546,16417.1231408068
20393,0.8537360021,17410.2382918303
20394,0.9045732694,18447.8672561406
20395,0.9440203677,19253.2953997986
20396,0.9615496487,19611.7666344836
20397,0.9524837579,19427.8112090844
20398,0.9192438989,18750.7370497578
20399,0.8707034057,17761.4787727356
20400,0.8198192386,16724.3124684313
20401,0.7801736371,15916.3223698838
20402,0.7623490066,15553.4444318091
20403,0.7711035824,15732.8263919243
20404,0.8041016372,16406.8898056120
20405,0.8525370648,17396.0188069639
20406,0.9034838299,18436.4910324767
20407,0.9433458995,19250.8597711357
20408,0.9614858666,19622.0035665399
20409,0.9530638335,19451.0797770881
20410,0.9203289387,18783.9136389860
20411,0.8720189123,17798.7780195600
20412,0.8210279847,16758.8232231757
20413,0.7809656053,15941.8509005622
20414,0.7625244090,15566.1732859239
20415,0.7706267273,15732.3446370029
20416,0.8031111215,16396.3166572488
20417,0.8513093961,17381.1839397491
20418,0.9023600224,18424.3869380789
20419,0.9426405320,19247.7770226573
20420,0.9614028536,19631.8462713245
20421,0.9536414627,19474.3123095765
20422,0.9214289865,18817.4227631549
20423,0.8733629195,17836.6909044270
20424,0.8222711738,16794.0664540297
20425,0.7817888192,15968.0366316963
20426,0.7627195528,15579.3095846863
20427,0.7701528412,15731.9120866188
20428,0.8021059775,16385.4209089569
20429,0.8500533457,17365.7397989312
20430,0.9012015810,18411.5483007732
20431,0.9419034519,19244.0294265631
20432,0.9612994639,19641.2706467000
20433,0.9542154716,19497.4847311797
20434,0.9225431533,18851.2467945258
20435,0.8747350612,17875.2109754938
20436,0.8235490631,16830.0486525181
20437,0.7826440926,15994.8973211778
20438,0.7629355937,15592.8776637256
20439,0.7696831152,15731.5531917650
20440,0.8010871138,16374.2206070332
20441,0.8487692964,17349.6931868921
20442,0.9000082584,18397.9688181054
20443,0.9411338454,19239.5992016881
20444,0.9611745317,19650.2521265353
20445,0.9547846522,19520.5722132725
20446,0.9236705107,18885.3672613929
20447,0.8761349376,17914.3310695446
20448,0.8248618897,16866.7759205464
20449,0.7835322394,16022.4507635764
20450,0.7631737073,15606.9023136131
20451,0.7692187745,15731.2931576975
20452,0.8000554788,16362.7346525694
20453,0.8474576656,17333.0516351539
20454,0.8987798278,18383.6425973929
20455,0.9403308994,19234.4685472363
20456,0.9610268723,19658.7656991992
20457,0.9553477622,19543.5491722399
20458,0.9248100903,18919.7648264611
20459,0.8775621133,17954.0432762766
20460,0.8262098695,16904.2539298934
20461,0.7844540714,16050.7147556437
20462,0.7634350875,15621.4087605850
20463,0.7687610783,15731.1579450800
20464,0.7990120613,16350.9828228764
20465,0.8461189074,17315.8234404267
20466,0.8975160851,18368.5641967420
20467,0.9394938036,19228.6196780951
20468,0.9608552828,19666.7859276448
20469,0.9559035258,19566.3892689495
20470,0.9259608825,18954.4192657740
20471,0.8790161156,17994.3389020765
20472,0.8275931946,16942.4878805640
20473,0.7854103971,16079.7070602010
20474,0.7637209459,15636.4226456242
20475,0.7683113197,15731.1742698927
20476,0.7979578918,16338.9857922709
20477,0.8447535137,17298.0177008955
20478,0.8962168506,18352.7286673139
20479,0.9386217521,19222.0348617154
20480,0.9606585435,19674.2869711661
20481,0.9564506328,19589.0654094952
20482,0.9271218362,18989.3094481578
20483,0.8804964328,18035.2084335865
20484,0.8290120317,16981.4824579752
20485,0.7864020195,16109.4453684378
20486,0.7640325101,15651.9700018556
20487,0.7678708255,15731.3696020108
20488,0.7968940430,16326.7651523366
20489,0.8433620163,17279.6443528415
20490,0.8948819715,18336.1315966157
20491,0.9377139455,19214.6964566776
20492,0.9604354191,19681.2426088786
20493,0.9569877396,19611.5497473205
20494,0.9282918569,19024.4133153050
20495,0.8820025129,18076.6415009685
20496,0.8304665198,17021.2417891531
20497,0.7874297341,16139.9472605514
20498,0.7643710230,15668.0772301709
20499,0.7674409563,15731.7721623428
20500,0.7958216308,16314.3434314433
20501,0.8419449884,17260.7142074598
20502,0.8935113234,18318.7691528982
20503,0.9367695924,19206.5869528395
20504,0.9601846598,19687.6262650054
20505,0.9575134692,19633.8136868118
20506,0.9294698070,19059.7078626582
20507,0.8835337612,18118.6268410257
20508,0.8319567680,17061.7693978029
20509,0.7884943276,16171.2301647164
20510,0.7647377412,15684.7710730163
20511,0.7670231056,15732.4109184846
20512,0.7947418152,16301.7441135016
20513,0.8405030463,17241.2389877800
20514,0.8921048128,18300.6381305658
20515,0.9357879119,19197.6890132290
20516,0.9599050027,19693.4110360278
20517,0.9580264117,19655.8278884596
20518,0.9306545044,19095.1691210804
20519,0.8850895395,18161.1522601746
20520,0.8334828537,17103.0681583569
20521,0.7895965749,16203.3113143892
20522,0.7651339336,15702.0785862831
20523,0.7666186999,15733.3155787281
20524,0.7936558008,16288.9916557665
20525,0.8390368509,17221.2313657368
20526,0.8906623793,18281.7359966322
20527,0.9347681355,19187.9855175890
20528,0.9595951734,19698.5697197701
20529,0.9585251242,19677.5622756803
20530,0.9318447218,19130.7721395369
20531,0.8866691636,18204.2045974726
20532,0.8350448202,17145.1402490754
20533,0.7907372378,16236.2077038889
20534,0.7655608800,15720.0271092345
20535,0.7662291982,15734.5165843774
20536,0.7925648376,16276.1115057097
20537,0.8375471101,17200.7049991194
20538,0.8891839974,18262.0609381288
20539,0.9337095091,19177.4596076359
20540,0.9592538874,19703.0748464872
20541,0.9590081322,19698.9860433984
20542,0.9330391865,19166.4909687671
20543,0.8882719022,18247.7696876201
20544,0.8366426745,17187.9871041424
20545,0.7919170622,16269.9360422756
20546,0.7660198692,15738.6442323849
20547,0.7658560909,15736.0451002451
20548,0.7914702218,16263.1301167418
20549,0.8360345792,17179.6745684968
20550,0.8876696793,18241.6119104200
20551,0.9326112955,19166.0947340687
20552,0.9588798517,19706.8987120151
20553,0.9594739293,19720.0676684885
20554,0.9342365791,19202.2986461641
20555,0.8898969751,18291.8323241798
20556,0.8382763847,17231.6093648839
20557,0.7931367761,16304.5127055034
20558,0.7665121978,15757.9577633067
20559,0.7655009000,15737.9330032493
20560,0.7903732959,16250.0749627144
20561,0.8345000639,17158.1558138878
20562,0.8861194770,18220.3886864613
20563,0.9314727766,19153.8747052682
20564,0.9584717668,19710.0134130395
20565,0.9599209785,19740.7749221716
20566,0.9354355335,19238.1671819036
20567,0.8915435515,18336.3762230363
20568,0.8399458786,17276.0068301550
20569,0.7943970872,16339.9536868112
20570,0.7670391682,15777.9956902655
20571,0.7651651776,15740.2128689867
20572,0.7892754497,16236.9745511171
20573,0.8329444209,17136.1655711615
20574,0.8845334843,18198.3919067948
20575,0.9302932558,19140.7837377672
20576,0.9580283284,19712.3908845669
20577,0.9603477127,19761.0748844929
20578,0.9366346363,19274.0675464826
20579,0.8932107481,18381.3839861486
20580,0.8416510401,17321.1784058833
20581,0.7956986806,16376.2745454402
20582,0.7676020865,15798.7861436446
20583,0.7648505056,15742.9179562016
20584,0.7881781206,16223.8584347901
20585,0.8313685600,17113.7218080437
20586,0.8829118396,18175.6231303800
20587,0.9290720604,19126.8065083992
20588,0.9575482290,19714.0029396135
20589,0.9607525359,19780.9339609358
20590,0.9378324264,19309.9696597503
20591,0.8948976284,18426.8370658135
20592,0.8433917081,17367.1220539312
20593,0.7970422160,16413.4903535709
20594,0.7682022606,15820.3573551050
20595,0.7645584942,15746.0821890370
20596,0.7870827938,16210.7572221100
20597,0.8297734456,17090.8436595817
20598,0.8812547279,18152.0848860771
20599,0.9278085445,19111.9282082412
20600,0.9570301607,19714.8213112158
20601,0.9611338237,19800.3179013270
20602,0.9390273945,19345.8423815787
20603,0.8966032000,18472.7157294895
20604,0.8451676733,17413.8347402554
20605,0.7984283252,16451.6156415739
20606,0.7688409985,15842.7376144098
20607,0.7642907816,15749.7401369675
20608,0.7859910028,16197.7025854252
20609,0.8281600982,17067.5514630376
20610,0.8795623835,18127.7807247944
20611,0.9265020910,19096.1345981737
20612,0.9564728166,19714.8176967779
20613,0.9614899249,19819.1918210930
20614,0.9402179831,19381.6535043118
20615,0.8983264140,18518.9990252596
20616,0.8469786759,17461.3123825218
20617,0.7998576098,16490.6643415416
20618,0.7695196054,15865.9552238873
20619,0.7640490321,15753.9269923164
20620,0.7849043292,16184.7272677172
20621,0.8265295957,17043.8667919860
20622,0.8778350922,18102.7152721080
20623,0.9251521149,19079.4120662460
20624,0.9558748936,19713.9638048168
20625,0.9618191624,19837.5202249998
20626,0.9414025864,19417.3697470675
20627,0.9000661632,18565.6647481441
20628,0.8488244036,17509.5497971903
20629,0.8013306379,16530.6497291577
20630,0.7702393820,15890.0384504652
20631,0.7638349351,15758.6785452420
20632,0.7838244032,16171.8650872639
20633,0.8248830752,17019.8124896004
20634,0.8760731938,18076.8942814384
20635,0.9237580657,19061.7476865880
20636,0.9552350942,19712.2314041483
20637,0.9621198349,19855.2670334551
20638,0.9425795500,19452.9567520975
20639,0.9018212805,18612.6894073208
20640,0.8507044887,17558.5406461971
20641,0.8028479417,16571.5843639004
20642,0.7710016217,15915.0154752558
20643,0.7636502038,15764.0311561140
20644,0.7827529035,16159.1509402483
20645,0.8232217341,16995.4127008717
20646,0.8742770845,18050.3246874936
20647,0.9223194304,19043.1292800520
20648,0.9545521298,19709.5923755578
20649,0.9623902180,19872.3956114910
20650,0.9437471711,19488.3790832879
20651,0.9035905377,18660.0481944195
20652,0.8526185059,17608.2773833337
20653,0.8044100144,16613.4800276247
20654,0.7718076082,15940.9143406114
20655,0.7634965735,15770.0217251517
20656,0.7816915570,16146.6208011094
20657,0.8215468318,16970.6929037632
20658,0.8724472195,18023.0146600256
20659,0.9208357363,19023.5454763971
20660,0.9538247225,19706.0187659954
20661,0.9626285659,19888.8688005164
20662,0.9449036989,19523.6002269578
20663,0.9053726445,18707.7149530184
20664,0.8545659698,17658.7512003962
20665,0.8060173076,16656.3476616000
20666,0.7726586129,15967.7628947005
20667,0.7633758000,15776.6876592531
20668,0.7806421386,16134.3117205617
20669,0.8198596903,16945.6799390323
20670,0.8705841150,17994.9736577555
20671,0.9193065540,19002.9857780609
20672,0.9530516082,19701.4828452857
20673,0.9628331134,19904.6489529410
20674,0.9460473346,19558.5825950734
20675,0.9071662467,18755.6621495035
20676,0.8565463326,17709.9519732828
20677,0.8076702279,16700.1973019783
20678,0.7735558919,15995.5887334634
20679,0.7632896579,15784.0668358979
20680,0.7796064710,16122.2618210810
20681,0.8181616962,16920.4020386664
20682,0.8686883513,17966.2124822680
20683,0.9177315005,18981.4406253908
20684,0.9522315396,19695.9571654546
20685,0.9630020773,19919.6979697654
20686,0.9471762318,19593.2875310970
20687,0.9089699253,18803.8608454069
20688,0.8585589814,17761.8682080446
20689,0.8093691340,16745.0380138211
20690,0.7745006834,16024.4191400377
20691,0.7632399383,15792.1975640387
20692,0.7785864242,16110.5102897497
20693,0.8164543011,16894.8888526905
20694,0.8667605747,17936.7433318973
20695,0.9161102422,18958.9014633520
20696,0.9513632887,19689.4146226002
20697,0.9631336590,19933.9773412326
20698,0.9482884974,19627.6753184841
20699,0.9107821958,18852.2806714458
20700,0.8606032361,17814.4869871519
20701,0.8111143338,16790.8778237161
20702,0.7754942045,16054.2810215523
20703,0.7632284472,15801.1185418845
20704,0.7775839146,16099.0973683161
20705,0.8147390231,16869.1714743013
20706,0.8648014998,17906.5798553302
20707,0.9144424982,18935.3608095868
20708,0.9504456501,19681.8285214053
20709,0.9632260462,19947.4481906285
20710,0.9493821918,19661.7051921055
20711,0.9126015066,18900.8898033336
20712,0.8626783467,17867.7939160306
20713,0.8129060808,16837.7236510601
20714,0.7765376481,16085.2008433426
20715,0.7632570027,15810.8688114928
20716,0.7766009046,16088.0643402904
20717,0.8130174477,16843.2824630090
20718,0.8628119126,17875.7372048984
20719,0.9127280430,18910.8123237392
20720,0.9494774441,19673.1726422222
20721,0.9632774152,19960.0713213216
20722,0.9504553302,19695.3353526493
20723,0.9144262385,18949.6549396246
20724,0.8647834911,17921.7730700012
20725,0.8147445712,16885.5812381085
20726,0.7776321799,16117.2045605423
20727,0.7633274333,15821.4877100795
20728,0.7756394015,16077.4535149821
20729,0.8112912280,16817.2558657995
20730,0.8607926719,17844.2320893251
20731,0.9109667106,18885.2508780480
20732,0.9484575203,19663.4213107757
20733,0.9632859339,19971.8072671233
20734,0.9515058833,19728.5229842151
20735,0.9162547037,18998.5412817016
20736,0.8669177730,17976.4069418637
20737,0.8166299406,16934.4550788391
20738,0.7787789347,16150.3175470891
20739,0.7634415747,15833.0148179684
20740,0.7747014565,16067.3082082808
20741,0.8095620865,16791.1272359552
20742,0.8587447125,17812.0828258429
20743,0.9091583970,18858.6726289609
20744,0.9473847604,19652.5494704653
20745,0.9632497636,19982.6163460477
20746,0.9525317784,19761.2242751768
20747,0.9180851456,19047.5125160987
20748,0.8690802193,18031.6763901580
20749,0.8185622607,16984.3483467926
20750,0.7799790131,16184.5645221332
20751,0.7636012676,15845.4899031022
20752,0.7737891635,16057.6727200553
20753,0.8078318147,16764.9336495071
20754,0.8566690465,17779.3093914222
20755,0.9073030638,18831.0750898254
20756,0.9462580823,19640.5327572333
20757,0.9631670626,19992.4587175459
20758,0.9535309010,19793.3944425489
20759,0.9199157377,19096.5307993678
20760,0.8712697779,18087.5605884093
20761,0.8205415357,17035.2628219707
20762,0.7812334782,16219.9694738938
20763,0.7638083544,15858.9528620477
20764,0.7729046575,16048.5923080325
20765,0.8061022740,16738.7137190357
20766,0.8545667665,17745.9334730724
20767,0.9054007418,18802.4572043970
20768,0.9450764434,19627.3475769702
20769,0.9630359884,20001.2944432815
20770,0.9545010958,19824.9877599196
20771,0.9217445836,19145.5567456378
